2022-07-12 02:48:08 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-07-12 02:48:08 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-07-12 02:48:08 status installed libncursesw6:amd64 6.2+20201114-2
2022-07-12 02:48:08 configure readline-common:all 8.1-1 <none>
2022-07-12 02:48:08 status unpacked readline-common:all 8.1-1
2022-07-12 02:48:08 status half-configured readline-common:all 8.1-1
2022-07-12 02:48:08 status installed readline-common:all 8.1-1
2022-07-12 02:48:08 configure pinentry-curses:amd64 1.1.0-4 <none>
2022-07-12 02:48:08 status unpacked pinentry-curses:amd64 1.1.0-4
2022-07-12 02:48:08 status half-configured pinentry-curses:amd64 1.1.0-4
2022-07-12 02:48:08 status installed pinentry-curses:amd64 1.1.0-4
2022-07-12 02:48:08 configure libreadline8:amd64 8.1-1 <none>
2022-07-12 02:48:08 status unpacked libreadline8:amd64 8.1-1
2022-07-12 02:48:08 status half-configured libreadline8:amd64 8.1-1
2022-07-12 02:48:08 status installed libreadline8:amd64 8.1-1
2022-07-12 02:48:08 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:08 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status installed gpgconf:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:08 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-configured gpg:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status installed gpg:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:08 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:08 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:09 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status installed gpgsm:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:09 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status installed dirmngr:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:09 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:09 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:09 configure gnupg:all 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:09 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-07-12 02:48:09 status half-configured gnupg:all 2.2.27-2+deb11u2
2022-07-12 02:48:09 status installed gnupg:all 2.2.27-2+deb11u2
2022-07-12 02:48:09 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-07-12 02:48:09 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-07-12 02:48:09 status installed libc-bin:amd64 2.31-13+deb11u3
2022-07-12 02:48:16 startup archives unpack
2022-07-12 02:48:16 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-07-12 02:48:16 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-07-12 02:48:16 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-07-12 02:48:16 install libgdbm6:amd64 <none> 1.19-2
2022-07-12 02:48:16 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-07-12 02:48:16 status half-installed libgdbm6:amd64 1.19-2
2022-07-12 02:48:16 status unpacked libgdbm6:amd64 1.19-2
2022-07-12 02:48:17 install libgdbm-compat4:amd64 <none> 1.19-2
2022-07-12 02:48:17 status half-installed libgdbm-compat4:amd64 1.19-2
2022-07-12 02:48:17 status unpacked libgdbm-compat4:amd64 1.19-2
2022-07-12 02:48:17 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-07-12 02:48:17 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-07-12 02:48:17 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-07-12 02:48:17 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-07-12 02:48:17 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-07-12 02:48:17 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-07-12 02:48:17 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-07-12 02:48:17 status half-installed libpython3.9-minimal:amd64 3.9.2-1
